OBJECTID,CASENUMBER,MODULENAME,CASEID,WORKCLASS,APPLICATIONDATE,PROJECTID,PROJECTNAME,GISHISTORYQUEUEID,SPATIALTYPE,SPATIALID,CASETYPE,CASEWORKCLASS,STATUS,DESCRIPTION,ISSUEDATE,EXPIREDATE,MAIN_ADDRESS_LINE1,MAIN_ADDRESS_LINE2,OWNER,BUSINESSPHONE,LASTCHANGEDON,SHAPE.AREA,SHAPE.LEN
418426,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
418428,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
418430,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
418431,CPLN2021007459,PlanManagement,99b15763-5cfa-4d3f-acfb-b9fca537bd2b,Master Sign Plan,1617901387000.0, ,,2f0cb339-0502-4d7d-915d-d33805586744,Parcel,19103712001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Matter Park @ West Henderson Phase II,,,1431 RAIDERS WAY,"HENDERSON, NV",Burke Construction Group Inc,7023671040,1617840000000.0,501049.89841130504,2976.4231251173
418433,CPLN2021007679,PlanManagement,36f57a33-c051-4712-b969-df9dcd9a0d99,Master Sign Plan,1620662957000.0, ,,9cb6889a-dcd8-43db-b3c4-7315044d836c,Parcel,19115511001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,HAAS Automation CNC Manufacturing - Master Sign Plan,,,2055 VIA INSPIRADA,"HENDERSON, NV 89044", PKARCHITECTURE,8188519551,1620604800000.0,7185904.82455441,11171.328748103999
418434,CPLN2021007705,PlanManagement,32e08d0d-96ec-4303-a3ed-112abcc1d864,Master Sign Plan,1621239665000.0, ,,d8b3831b-9f74-413c-ba51-cc277e50693d,Parcel,17805513003,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Pylon Sign at  Valle Verde,,,691 N VALLE VERDE DR,"HENDERSON, NV 89014",M T M INVESTMENTS-SERIES E L L C,,1621209600000.0,77361.219461967,1186.1832034632803
418436,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
418437,CPLN2021006828,PlanManagement,f6bbbe75-0d5f-4e74-9083-d6c60600c942,Master Sign Plan,1610032070000.0,13818529-CB1D-4B0F-B264-38D845B9CAB7,Downtown Redevelopment Area,d45dcf82-32dd-41cb-8a29-c59585a9a4e4,Parcel,17918710243,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Lifeguard Arena,,,222 S WATER ST,"HENDERSON, NV 89015",CITY OF HENDERSON,,1609977600000.0,141836.517503757,1673.8246711799902
418446,CPLN2019002294,PlanManagement,c09697d9-f92a-4002-9ac2-6a38bb84d621,Master Sign Plan,1548339754000.0, ,,fde48304-63d8-4190-9022-cb1b716807b6,Parcel,17802110012,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Short Line Expess Market,,,985 W GALLERIA DR,"HENDERSON, NV 89011",SHORT LINE EXPRESS MARKET,7025951711,1548288000000.0,55529.247752327596,1049.97906604263
418455,CPLN2021008197,PlanManagement,55d8a577-0f93-4685-b1d0-9c59ba28718a,Master Sign Plan,1626961580000.0, ,,09097db5-089a-4411-a05a-ebd4d53eae01,Parcel,17805503001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Gateway Plaza ,,,1999 W SUNSET RD,"HENDERSON, NV","City Plaza, LLC",7023384012,1626912000000.0,56657.496560146596,1151.3440058159
418456,CPLN2021008186,PlanManagement,774f2da1-7940-4020-bc89-06c9caf6f713,Master Sign Plan,1626865873000.0, ,SUNPAC INDUSTRIAL PARK,b2286b73-7602-456b-9869-ac7c336ac95b,Parcel,17801511080,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Green Valley Grocery #71,,,685 E SUNSET RD,"HENDERSON, NV 89011",High Impact Sign,7023363336,1626825600000.0,58565.8292570448,1000.8323876248401
418458,CPLN2021009136,PlanManagement,1325e16f-7003-4a5f-bffb-59e41f15a2ae,Master Sign Plan,1638365403000.0, ,,ccb242dd-8aca-4d8b-8035-eec799597fa5,Parcel,17907811003,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Boulder Highway Terrible Herbst MSP,,,306 N BOULDER HWY,"HENDERSON, NV 89015",HERBST DEVELOPMENT L L C,,1638316800000.0,60044.0118080974,1003.52506702585
418460,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
